MaxCD,TN,TP,Precip
4473.888386,0.892843333,21.57142857,-0.26150157
22251.92308,0.5917,47.14285714,-0.869301431
62844.43571,0.63328,54.33333333,1.129812805
28325,0.559753846,22,-0.013772716
64114.16667,1.7,61.25,-1.89766423
407748.2217,1.087,8,1.942132999
227854.0905,2.025,45,1.515808926
396775.3921,4.977272727,89.4,-1.935111615
1385836.296,1.476,23.875,0.291567499
556079.4857,3.135,11,1.253677232
804.5454545,0.6838,17.39,-0.883704271
5170.012886,2.299828571,11.9,-0.728153596
7035,1.356,13.26666667,-0.512110991
6236.275801,3.316666667,34.9,-0.287426682
11692.21154,4.10130719,53.86666667,-0.993165858
7772.803,3.826315789,43.53846154,-0.45449963
5688.136,4.076344086,16.33333333,-0.267262706
2575.822,6.18375,9.727272727,-0.777123253
15219.801,1.154,10.375,-0.091548054
32694.11765,5.732142857,12.5,-0.09730919
21128,3.6575,19.7,2.109205947
15301.742,2.517375,97.54545455,0.179225344
28953.244,2.375461538,24.26,1.028992923
34295.92233,3.240230769,36.33333333,1.921969023
167641.6365,1.780263333,27,-0.489453164
235323.1306,0.979831933,42.8,-1.10844189
4254997.492,0.733333333,62.4,0.794890485
572033.0739,0.916666667,70.6,-0.456996826
388149.478,1.181878558,5,-1.495599632
1029118.961,1.102777778,20.82352941,1.467200337
3328178.788,0.79604902,27.36842105,-0.470906685
1240727.963,0.453571429,63,-0.876610906
13476.08025,1.222808333,59.20588235,-0.104613731
30787.038,0.647,23.54166667,-0.855746118
34748.23529,1.381333333,37.5,2.211377793
2326.771978,1.866293103,136.4285714,1.14031865
4794.17,1.161436782,52.16666667,-0.948478511
5979.875,1.405331266,3.48,1.307236958
31717.196,2.229708571,53,0.690566542
15482.02,2.253951852,24.46153846,-1.433005266
1770.359667,0.921954545,46.30769231,0.889941188
3647.2,1.785381818,71.66666667,0.58392429
1678.488,1.553578,26.21428571,1.035994707
1801.876,0.4,110.8333333,-0.039701056
5751.529412,0.85,67.55555556,-0.9693433
24493.30033,1.15,103.5384615,-0.099977112
128912.5,0.64,52.88888889,0.488873586
3824455.915,0.671428571,60,-0.5450926
38359.43023,0.324,14.85,-1.082940481
202880.1138,1.642777778,26.75,-1.069030622
901215.3846,0.6115,111.2238095,-0.804743301
1388807.68,0.45,102,-0.463951756
239695.5131,0.911,300,0.412369362
919.059526,0.72834,96.205,2.016639767
2333.333333,0.538166667,105.3448276,0.352093306
12461.42,0.531785714,81.41935484,-0.076794013
2968.553459,0.502666667,58.75428571,-1.017230964
759.8681319,0.35,72.07407407,-1.137890979
128.028,1.42,82.36363636,0.385106549
471.904,0.6,165.6818182,1.151967981
438.2,0.225,140.2,-1.363123008
134.106,0.55,5,-0.877801613
11475.52,0.279,50,-0.169929522
1347.089655,1.580588235,7.333333333,-1.438200351
171.36,0.766285714,7.2,1.066165304
2919.039,0.418583333,44.28571429,0.390469217
1351.500395,0.652,9.166666667,-0.419293554
1876.329412,0.921111111,30,0.521854567
64353.19767,0.641,42.4,-0.403205552
1033383.816,0.561027273,51.11111111,1.444233352
51249.42043,0.268833333,13.75,0.331479876
96946.64206,0.481578947,8.742857143,-1.435519018
85879.14149,0.842857143,11.24,-0.156522853
67562.87171,0.652173913,8.1,0.044577172
396553.1624,0.85,49,-0.352260212
3916.854923,2.1175,74.33333333,1.736498723
13888.89,0.8765,4.571428571,-1.137890979
4962.197802,0.469,78,-0.727646927
12206.3625,0.767,16.5,1.942961416
4442.318,1.277571429,50,-0.384436216
11731.923,0.513571429,5,0.146467852
7776.971,0.57575,70,-1.103033642
16434.30749,1.314,15,-0.202105526
16380,1.880857143,46.66666667,-0.489008229
30861.6,2.125,7.4,2.028764094
18324.358,0.925942857,48.58235294,0.082115844
2260.852269,0.60632,30.75714286,0.237633197
59671.32673,1.414285714,14.125,1.304804001
505107.5269,1.1,18.5,0.248355629
536722.4889,2.4,3.888888889,-1.235155328
483738.446,1.2,72.55555556,1.090907148
1316.435644,1.125,25.90909091,-1.534958936
638834.2697,1.198,19.33333333,-1.266169494
564399.5716,1.233,39.78947368,0.126883477
1088526.572,1.6189,49.64285714,-0.656224223
748579.7263,1.04425,75.73432692,-0.516660474
12803359.05,1.605,120.75,-1.361796507
4147082.788,0.94925,21.06666667,0.788519026
20524.69136,2.008,156.1290323,-0.521829502
6600,1.150542174,52.06896552,0.997864649
2733.265306,1.4,310.2857143,-0.793203457
2063.886792,4.3,264.5714286,-1.493606714
2475.168,3.7,63.85714286,0.413764516
2563.088,2.2,35,-0.26596263
7629.742,0.942,21.2,2.336642829
35664.31353,2.366,39.85714286,0.41634903
59756.48,9.037857143,56.14285714,1.737035613
11043.835,2.26,58.71428571,-0.175504644
1387.525,2.6325,88.4,-1.436747409
3967.84466,1.8758,18.57142857,-0.816464082
29452.5,0.864,34,1.01854076
86698.18182,2.026577419,17.5,0.571419862
37539.89362,2.42,90,-0.860400818
27643.22917,1.45,28,-0.240117491
451558.9888,1.9,44,0.23543306
260796.2127,3.7,43.42857143,0.480961876
108254.6455,2.199090909,154.3,1.42689395
364758.6235,1.147916667,46,0.760089374
1024964.819,0.682,35.8,0.049348062
1205822.308,1.354333333,35.8,0.475792849
9727.21496,6.885333333,2,0.384658594
3960,2.05,35.57142857,-1.264982279
111.372549,0.905,69.7826087,-0.275759814
1669.627096,1.687333333,23.5,1.905026076
249.67,1.461,50,-0.722596098
570.07,1.183477778,27,1.964042189
6799.605,1.5265,13.33333333,-0.143676132
1917.391043,8.5,30,-0.756319591
84588,1.55,20,0.280677823
717.381,9.3,52,0.421192378
883.247,5.05,83.57142857,-0.323534762
560.7692308,2.942,24,1.629617549
31234.81719,1.6915,9.625,-0.39379204
39573.33333,1.531428571,35.75,0.870838953
33559.7825,14.79966667,4.4,0.772478765
111857.3589,1.505666667,49.5,-1.60221721
109762.7841,4.43,43.16129032,1.188401847
195654.5089,3.6585,75.83333333,0.148594142
67577.59926,3.301555556,5,-0.773181337
874298.8564,5.46,70,-0.362878838
448948.6678,3.754285714,22.33333333,-0.922126765
1079339.37,3.95,183.7272727,-1.470133529
1608.73875,4.316666667,28.25,-0.576460961
5452.794805,3.86,42.5,-0.896834146
63250,6.1,40,-1.057020738
21549.32039,3.9,42,-1.06264132
12258.135,2.822857143,159.8666667,-1.079503067
30342.857,3.502,32,0.395899758
8693.747,11.269,34,1.236176795
9307.581,3.661111111,27.33333333,0.859597789
6123.428857,4.2125,59.71428571,0.741565563
17704.61538,1.878,59.11111111,0.884890408
9512.533,2.7075,93.125,-1.372123559
16813.907,1.9592,164,-0.712320748
11295.46371,0.93925,65,-0.028847881
53000.64,4.705714286,39,1.355850395
48001.92308,1.9965,5,-1.280402092
854128.4877,0.8,80,-0.188620759
942997.7186,1.666666667,346,-1.966833716
778850.8167,0.7,206.7142857,0.450470753
1811909.479,0.817647059,557.0555556,-0.253713413
1118997.485,1,190,-0.153115675
7774.504302,0.9,106.5,1.385437965
28703.704,1.065,121,0.648707472
612.6741573,1.67125,169.8333333,-1.307030905
17563.84615,0.901,215,0.491893351
34547.745,3.630769231,97,0.471182052
43475.785,1.32625,398.4285714,1.397272993
191.488,1.9125,9,0.382419342
8326.463,1.958,85,-0.629475552
26612.44311,1.0837,69.4,-0.487455216
15608.49231,0.64025,5,0.030327259
71148,0.6573,20,-0.969732607
65517.241,0.774,134.2857143,-0.457867646
67449.65035,5.4,56.34,-0.747825832
