MaxCD_Forest,MaxCD_AgricultureStrat,MaxCD_AgricultureNoStrat,TN_Forest,TN_AgricultureStrat,TN_AgricultureNoStrat,TP_Forest,TP_AgricultureStrat,TP_AgricultureNoStrat,Precip_Forest,Precip_AgricultureStrat,Precip_AgricultureNoStrat
,,,,,,,,,,-0.923266194,-1.395295029
,,,,,,,,,,0.11684155,-1.260883122
,,,,,,,,,,1.905948164,0.925367687
,,,,,,,,,,-1.793560429,-0.045689762
,,,,,,,,,,0.165359695,-1.074352313
,,,,,,,,,,-0.926298578,-0.177358568
,,,,,,,,,,1.460187703,2.157019649
,,,,,,,,,,-0.562412487,-0.522989186
,,,,,,,,,,2.151571276,1.926599237
,,,,,,,,,,1.123593068,2.409384861
,,,,,,,,,,-0.140911098,-0.747923397
,,,,,,,,,,0.438274263,0.897936686
,,,,,,,,,,-0.283198246,0.750870017
,,,,,,,,,,-0.385295468,-1.48427794
,,,,,,,,,,0.745066631,0.176416103
,,,,,,,,,,0.188393683,1.014596586
,,,,,,,,,,0.95169196,-1.348497924
,,,,,,,,,,1.4038368,-0.44764974
,,,,,,,,,,0.426620534,0.87881657
,,,,,,,,,,-0.84230208,0.139859944
,,,,,,,,,,-0.570042822,-1.343275616
,,,,,,,,,,0.8034079,0.43230921
,,,,,,,,,,-0.696448906,0.816148871
,,,,,,,,,,0.796115241,1.659551663
,,,,,,,,,,-0.762082834,-0.337981266
,,,,,,,,,,-0.779099038,-0.102977392
,,,,,,,,,,-1.082959817,0.450587289
,,,,,,,,,,-1.780624166,-1.45294409
,,,,,,,,,,0.188393683,0.980651582
,,,,,,,,,,0.404742558,0.925817345
,,,,,,,,,,-1.189918811,-0.865434405
,,,,,,,,,,-1.080528931,0.069358782
,,,,,,,,,,-1.491348704,-0.07686585
,,,,,,,,,,-1.170471721,-1.272774453
,,,,,,,,,,0.572473708,-0.80537786
,,,,,,,,,,-0.69401802,1.00415197
,,,,,,,,,,0.769375493,-0.956824801
,,,,,,,,,,-0.380433696,-1.2074956
,,,,,,,,,,0.88119626,0.10591494
,,,,,,,,,,-0.4679456,-0.951602492
,,,,,,,,,,2.63629612,2.072114019
,,,,,,,,,,1.143731973,-0.852378634
,,,,,,,,,,1.087821589,0.635979234
,,,,,,,,,,0.657554726,1.393213939
,,,,,,,,,,,-1.293260668
,,,,,,,,,,,-0.693891628
,,,,,,,,,,,-0.230426034
,,,,,,,,,,,0.84983212
,,,,,,,,,,,-0.794948036
,,,,,,,,,,,-0.728738666
,,,,,,,,,,,-1.707940411
,,,,,,,,,,,0.023957338
,,,,,,,,,,,-0.066644959
,,,,,,,,,,,-0.118915514
,,,,,,,,,,,0.626811082
,,,,,,,,,,,0.438637081
,,,,,,,,,,,-1.014484371
,,,,,,,,,,,-0.927366778
,,,,,,,,,,,1.550257568
,,,,,,,,,,,-1.261898335
,,,,,,,,,,,2.613092203
,,,,,,,,,,,-0.122400218
,,,,,,,,,,,-0.132854329
,,,,,,,,,,,-0.495263516
,,,,,,,,,,,-1.112056075
,,,,,,,,,,,-0.157247255
,,,,,,,,,,,1.017097899
,,,,,,,,,,,0.72786749
,,,,,,,,,,,-0.031797921
,,,,,,,,,,,-1.383862965
,,,,,,,,,,,0.309703043
,,,,,,,,,,,-0.22694133
,,,,,,,,,,,1.309813011
,,,,,,,,,,,1.696615124
,,,,,,,,,,,0.574540526
,,,,,,,,,,,0.762714527
